cell_subset,cell_type,annotation,markers
Lineage markers Subsets,Major cells,T-Cells,CD3D
Lineage markers Subsets,Major cells,T-Cells,CD3E
Lineage markers Subsets,Major cells,T-Cells,CD4
Lineage markers Subsets,Major cells,T-Cells,CD8A
Lineage markers Subsets,Major cells,T-Cells,CD8B
Lineage markers Subsets,Major cells,NK Cells,NCAM1
Lineage markers Subsets,Major cells,NK Cells,KLRG1
Lineage markers Subsets,Major cells,NK Cells,FCGR3A
Lineage markers Subsets,Major cells,NK Cells,NKG7
Lineage markers Subsets,Major cells,NK Cells,GNLY
Lineage markers Subsets,Major cells,NK Cells,CD160
Lineage markers Subsets,Major cells,B/Plasma Cells,CD19
Lineage markers Subsets,Major cells,B/Plasma Cells,MS4A1
Lineage markers Subsets,Major cells,B/Plasma Cells,CD79A
Lineage markers Subsets,Major cells,B/Plasma Cells,CD79B
Lineage markers Subsets,Major cells,B/Plasma Cells,SDC1
Lineage markers Subsets,Major cells,B/Plasma Cells,MZB1
Lineage markers Subsets,Major cells,B/Plasma Cells,XBP1
Lineage markers Subsets,Major cells,B/Plasma Cells,JCHAIN
Lineage markers Subsets,Major cells,Myeloid,LYZ
Lineage markers Subsets,Major cells,Myeloid,S100A8
Lineage markers Subsets,Major cells,Myeloid,S100A9
Lineage markers Subsets,Major cells,Myeloid,CD68
Lineage markers Subsets,Major cells,Myeloid,CD14
Lineage markers Subsets,Major cells,Myeloid,C1QB
Lineage markers Subsets,Major cells,Myeloid,C1QC
Lineage markers Subsets,Major cells,Endothelial Cells,PECAM1
Lineage markers Subsets,Major cells,Endothelial Cells,VWF
Lineage markers Subsets,Major cells,Endothelial Cells,ENG
Lineage markers Subsets,Major cells,Endothelial Cells,MCAM
Lineage markers Subsets,Major cells,Fibroblast,FAP
Lineage markers Subsets,Major cells,Fibroblast,PDPN
Lineage markers Subsets,Major cells,Fibroblast,COL1A2
Lineage markers Subsets,Major cells,Fibroblast,DCN
Lineage markers Subsets,Major cells,Fibroblast,COL3A1
Lineage markers Subsets,Major cells,Fibroblast,COL6A1
Lineage markers Subsets,Major cells,Epithelial,EPCAM
Lineage markers Subsets,Major cells,Epithelial,MUC1
Lineage markers Subsets,Major cells,Epithelial,ERBB2
Lineage markers Subsets,Major cells,Epithelial,KRT8
Lineage markers Subsets,Major cells,Epithelial,PGC
Lineage markers Subsets,Major cells,Epithelial,GKN2
