source,meta_program,gene_marker
B cells,B-cells1,CRIP1
B cells,B-cells1,TNFRSF13B
B cells,B-cells1,CAPG
B cells,B-cells1,ITGB1
B cells,B-cells1,CD99
B cells,B-cells1,S100A4
B cells,B-cells1,ACP5
B cells,B-cells1,CD82
B cells,B-cells1,CLECL1
B cells,B-cells1,HCST
B cells,B-cells1,SCIMP
B cells,B-cells1,ANXA2
B cells,B-cells1,COTL1
B cells,B-cells1,CTSH
B cells,B-cells1,VIM
B cells,B-cells1,CD27
B cells,B-cells1,LGALS1
B cells,B-cells1,PLP2
B cells,B-cells1,CCDC50
B cells,B-cells1,FCRL5
B cells,B-cells1,NEAT1
B cells,B-cells1,S100A11
B cells,B-cells1,S100A10
B cells,B-cells1,UBE2N
B cells,B-cells1,AIM2
B cells,B-cells1,EMP3
B cells,B-cells1,S100A6
B cells,B-cells1,ARPC1B
B cells,B-cells1,LSP1
B cells,B-cells1,PTPN1
B cells,B-cells1,RGS1
B cells,B-cells1,EVI2B
B cells,B-cells1,GRN
B cells,B-cells1,IFI30
B cells,B-cells1,RGCC
B cells,B-cells1,SRGN
B cells,B-cells1,SUB1
B cells,B-cells1,CAPZB
B cells,B-cells1,ENTPD1
B cells,B-cells1,GPR183
B cells,B-cells1,IGHA1
B cells,B-cells1,CD86
B cells,B-cells1,GSTK1
B cells,B-cells1,HOPX
B cells,B-cells1,IGFLR1
B cells,B-cells1,PLEK
B cells,B-cells1,BLK
B cells,B-cells1,BHLHE41
B cells,B-cells1,ISCU
B cells,B-cells1,CXCR3
B cells,B-cells2,LRMP
B cells,B-cells2,NEIL1
B cells,B-cells2,TCL1A
B cells,B-cells2,MARCKSL1
B cells,B-cells2,RGS13
B cells,B-cells2,RFTN1
B cells,B-cells2,BASP1
B cells,B-cells2,HMCES
B cells,B-cells2,BCL7A
B cells,B-cells2,LCP1
B cells,B-cells2,LPP
B cells,B-cells2,UBE2J1
B cells,B-cells2,PRDX6
B cells,B-cells2,SYNE2
B cells,B-cells2,CD22
B cells,B-cells2,FAM3C
B cells,B-cells2,HOPX
B cells,B-cells2,CCDC144A
B cells,B-cells2,KLHL6
B cells,B-cells2,PARP1
B cells,B-cells2,PRPSAP2
B cells,B-cells2,ABRACL
B cells,B-cells2,CD40
B cells,B-cells2,CD79B
B cells,B-cells2,DBI
B cells,B-cells2,GCHFR
B cells,B-cells2,LAT2
B cells,B-cells2,LMO2
B cells,B-cells2,POU2AF1
B cells,B-cells2,RGS1
B cells,B-cells2,TMEM123
B cells,B-cells2,BCAS4
B cells,B-cells2,DAAM1
B cells,B-cells2,GGA2
B cells,B-cells2,HMGA1
B cells,B-cells2,HMGN1
B cells,B-cells2,LCK
B cells,B-cells2,MTF2
B cells,B-cells2,P2RX5
B cells,B-cells2,RNGTT
B cells,B-cells2,STAG3
B cells,B-cells2,UCP2
B cells,B-cells2,JCHAIN
B cells,B-cells2,SERPINA9
B cells,B-cells2,CCDC88A
B cells,B-cells2,SUSD3
B cells,B-cells2,GRHPR
B cells,B-cells2,ACTG1
B cells,B-cells2,PPP2CA
B cells,B-cells2,CPNE3
B cells,B-cells3,NKTR
B cells,B-cells3,ARGLU1
B cells,B-cells3,ATM
B cells,B-cells3,RBM6
B cells,B-cells3,ARID1B
B cells,B-cells3,ATRX
B cells,B-cells3,BDP1
B cells,B-cells3,BPTF
B cells,B-cells3,MDM4
B cells,B-cells3,NEAT1
B cells,B-cells3,PARP14
B cells,B-cells3,SEL1L3
B cells,B-cells3,SYNE2
B cells,B-cells3,ZNF292
B cells,B-cells3,ASH1L
B cells,B-cells3,ATF7IP
B cells,B-cells3,BIRC3
B cells,B-cells3,CD22
B cells,B-cells3,CLEC2D
B cells,B-cells3,CTNNB1
B cells,B-cells3,FTX
B cells,B-cells3,HNRNPH1
B cells,B-cells3,ITSN2
B cells,B-cells3,KMT2A
B cells,B-cells3,LNPEP
B cells,B-cells3,MBNL1
B cells,B-cells3,PCSK7
B cells,B-cells3,PSMA3-AS1
B cells,B-cells3,RSRP1
B cells,B-cells3,SFPQ
B cells,B-cells3,STX7
B cells,B-cells3,TNRC6B
B cells,B-cells3,XIST
B cells,B-cells3,TTN
B cells,B-cells3,C1ORF56
B cells,B-cells3,RASGEF1B
B cells,B-cells3,ADAM19
B cells,B-cells3,B4GALT1
B cells,B-cells3,FAM214A
B cells,B-cells3,PRDM2
B cells,B-cells3,PPP3CA
B cells,B-cells3,GOLGB1
B cells,B-cells3,CDC42SE1
B cells,B-cells3,TUT4
B cells,B-cells3,IKZF3
B cells,B-cells3,CDK13
B cells,B-cells3,CCNL1
B cells,B-cells3,OGA
B cells,B-cells3,SET
B cells,B-cells3,ANKRD11
B cells,Cell-cycle,HMGB2
B cells,Cell-cycle,STMN1
B cells,Cell-cycle,TUBA1B
B cells,Cell-cycle,TUBB
B cells,Cell-cycle,HMGN2
B cells,Cell-cycle,PTTG1
B cells,Cell-cycle,DUT
B cells,Cell-cycle,NUSAP1
B cells,Cell-cycle,H2AFZ
B cells,Cell-cycle,PCNA
B cells,Cell-cycle,HMGA1
B cells,Cell-cycle,PCLAF
B cells,Cell-cycle,CKS1B
B cells,Cell-cycle,RANBP1
B cells,Cell-cycle,SMC4
B cells,Cell-cycle,HMGB1
B cells,Cell-cycle,TK1
B cells,Cell-cycle,MKI67
B cells,Cell-cycle,LDHA
B cells,Cell-cycle,TYMS
B cells,Cell-cycle,TOP2A
B cells,Cell-cycle,H4C3
B cells,Cell-cycle,HIST1H4C
B cells,Cell-cycle,RAN
B cells,Cell-cycle,TCL1A
B cells,Cell-cycle,UBE2C
B cells,Cell-cycle,ENO1
B cells,Cell-cycle,H2AZ1
B cells,Cell-cycle,CENPM
B cells,Cell-cycle,SLC25A5
B cells,Cell-cycle,MCM7
B cells,Cell-cycle,SNRPD1
B cells,Cell-cycle,AURKB
B cells,Cell-cycle,CDK1
B cells,Cell-cycle,DEK
B cells,Cell-cycle,PKM
B cells,Cell-cycle,TUBB4B
B cells,Cell-cycle,ANP32B
B cells,Cell-cycle,ANP32E
B cells,Cell-cycle,BIRC5
B cells,Cell-cycle,CDKN3
B cells,Cell-cycle,CKS2
B cells,Cell-cycle,H2AFV
B cells,Cell-cycle,KPNA2
B cells,Cell-cycle,LRMP
B cells,Cell-cycle,RRM2
B cells,Cell-cycle,ZWINT
B cells,Cell-cycle,GAPDH
B cells,Cell-cycle,SNRPF
B cells,Cell-cycle,H2AZ2
B cells,HSP/Stress,CACYBP
B cells,HSP/Stress,HSPA1B
B cells,HSP/Stress,CD69
B cells,HSP/Stress,DNAJB1
B cells,HSP/Stress,HSPB1
B cells,HSP/Stress,NR4A1
B cells,HSP/Stress,DEDD2
B cells,HSP/Stress,FKBP4
B cells,HSP/Stress,HSPA1A
B cells,HSP/Stress,HSPA6
B cells,HSP/Stress,HSPD1
B cells,HSP/Stress,CCR7
B cells,HSP/Stress,CHORDC1
B cells,HSP/Stress,DNAJA1
B cells,HSP/Stress,EGR1
B cells,HSP/Stress,EGR3
B cells,HSP/Stress,HSP90AA1
B cells,HSP/Stress,HSP90AB1
B cells,HSP/Stress,HSPE1
B cells,HSP/Stress,HSPH1
B cells,HSP/Stress,JUN
B cells,HSP/Stress,KLF6
